LCLid,tstp,energy(kWh/hh)
MAC000092,2011-12-12 10:30:00.0000000, 0.502
MAC000092,2011-12-12 11:00:00.0000000, 0.098
MAC000092,2011-12-12 11:30:00.0000000, 0.31
MAC000092,2011-12-12 12:00:00.0000000, 0.5
MAC000092,2011-12-12 12:30:00.0000000, 0.162
MAC000092,2011-12-12 13:00:00.0000000, 0.22
MAC000092,2011-12-12 13:30:00.0000000, 0.286
MAC000092,2011-12-12 14:00:00.0000000, 0.285
MAC000092,2011-12-12 14:30:00.0000000, 0.15
MAC000092,2011-12-12 15:00:00.0000000, 0.107
MAC000092,2011-12-12 15:30:00.0000000, 0.197
MAC000092,2011-12-12 16:00:00.0000000, 0.267
MAC000092,2011-12-12 16:30:00.0000000, 0.697
MAC000092,2011-12-12 17:00:00.0000000, 0.505
MAC000092,2011-12-12 17:30:00.0000000, 0.632
MAC000092,2011-12-12 18:00:00.0000000, 0.442
MAC000092,2011-12-12 18:30:00.0000000, 0.212
MAC000092,2011-12-12 19:00:00.0000000, 0.217
MAC000092,2011-12-12 19:30:00.0000000, 0.183
MAC000092,2011-12-12 20:00:00.0000000, 0.129
MAC000092,2011-12-12 20:30:00.0000000, 0.06
MAC000092,2011-12-12 21:00:00.0000000, 0.27
MAC000092,2011-12-12 21:30:00.0000000, 0.086
MAC000092,2011-12-12 22:00:00.0000000, 0.215
MAC000092,2011-12-12 22:30:00.0000000, 0.069
MAC000092,2011-12-12 23:00:00.0000000, 0.18
MAC000092,2011-12-12 23:30:00.0000000, 0.101
MAC000092,2011-12-13 00:00:00.0000000, 0.028
MAC000092,2011-12-13 00:30:00.0000000, 0.025
MAC000092,2011-12-13 01:00:00.0000000, 0.004
MAC000092,2011-12-13 01:30:00.0000000, 0.028
MAC000092,2011-12-13 02:00:00.0000000, 0.029
MAC000092,2011-12-13 02:30:00.0000000, 0.003
MAC000092,2011-12-13 03:00:00.0000000, 0
MAC000092,2011-12-13 03:30:00.0000000, 0
MAC000092,2011-12-13 04:00:00.0000000, 0.033
MAC000092,2011-12-13 04:30:00.0000000, 0.024
MAC000092,2011-12-13 05:00:00.0000000, 0
MAC000092,2011-12-13 05:30:00.0000000, 0.002
MAC000092,2011-12-13 06:00:00.0000000, 0
MAC000092,2011-12-13 06:30:00.0000000, 0.026
MAC000092,2011-12-13 07:00:00.0000000, 0.14
MAC000092,2011-12-13 07:30:00.0000000, 0.157
MAC000092,2011-12-13 08:00:00.0000000, 0.101
MAC000092,2011-12-13 08:30:00.0000000, 0.22
MAC000092,2011-12-13 09:00:00.0000000, 0.169
MAC000092,2011-12-13 09:30:00.0000000, 0.112
MAC000092,2011-12-13 10:00:00.0000000, 0.122
MAC000092,2011-12-13 10:30:00.0000000, 0.328
MAC000092,2011-12-13 11:00:00.0000000, 0.185
MAC000092,2011-12-13 11:30:00.0000000, 0.226
MAC000092,2011-12-13 12:00:00.0000000, 0.128
MAC000092,2011-12-13 12:30:00.0000000, 0.105
MAC000092,2011-12-13 13:00:00.0000000, 0.065
MAC000092,2011-12-13 13:30:00.0000000, 0.064
MAC000092,2011-12-13 14:00:00.0000000, 0.158
MAC000092,2011-12-13 14:30:00.0000000, 0.048
MAC000092,2011-12-13 15:00:00.0000000, 0.06
