LCLid,datetime,energy(kWh/hh),temperature
MAC000002,2012-10-12 00:30:00, 0 ,13.09
MAC000002,2012-10-12 01:00:00, 0 ,13.09
MAC000002,2012-10-12 01:30:00, 0 ,12.54
MAC000002,2012-10-12 02:00:00, 0 ,12.54
MAC000002,2012-10-12 02:30:00, 0 ,11.94
MAC000002,2012-10-12 03:00:00, 0 ,11.94
MAC000002,2012-10-12 03:30:00, 0 ,11.47
MAC000002,2012-10-12 04:00:00, 0 ,11.47
MAC000002,2012-10-12 04:30:00, 0 ,10.87
MAC000002,2012-10-12 05:00:00, 0 ,10.87
MAC000002,2012-10-12 05:30:00, 0 ,10.37
MAC000002,2012-10-12 06:00:00, 0 ,10.37
MAC000002,2012-10-12 06:30:00, 0 ,10.39
MAC000002,2012-10-12 07:00:00, 0 ,10.39
MAC000002,2012-10-12 07:30:00, 0 ,10.29
MAC000002,2012-10-12 08:00:00, 0 ,10.29
MAC000002,2012-10-12 08:30:00, 0 ,10.94
MAC000002,2012-10-12 09:00:00, 0 ,10.94
MAC000002,2012-10-12 09:30:00, 0 ,12.32
MAC000002,2012-10-12 10:00:00, 0 ,12.32
MAC000002,2012-10-12 10:30:00, 0 ,12.59
MAC000002,2012-10-12 11:30:00, 0.143 ,13.86
MAC000002,2012-10-12 12:00:00, 0.663 ,13.86
MAC000002,2012-10-12 12:30:00, 0.256 ,13.99
MAC000002,2012-10-12 13:00:00, 0.155 ,13.99
MAC000002,2012-10-12 13:30:00, 0.199 ,13.52
MAC000002,2012-10-12 14:00:00, 0.125 ,13.52
MAC000002,2012-10-12 14:30:00, 0.165 ,12.69
MAC000002,2012-10-12 15:00:00, 0.14 ,12.69
MAC000002,2012-10-12 15:30:00, 0.148 ,12.46
MAC000002,2012-10-12 16:00:00, 0.154 ,12.46
MAC000002,2012-10-12 16:30:00, 0.137 ,11.31
MAC000002,2012-10-12 17:00:00, 0.493 ,11.31
MAC000002,2012-10-12 17:30:00, 0.354 ,10.39
MAC000002,2012-10-12 18:00:00, 0.228 ,10.39
MAC000002,2012-10-12 18:30:00, 0.195 ,9.38
MAC000002,2012-10-12 19:00:00, 0.527 ,9.38
MAC000002,2012-10-12 19:30:00, 0.886 ,8.93
MAC000002,2012-10-12 20:00:00, 0.198 ,8.93
MAC000002,2012-10-12 20:30:00, 0.243 ,8.93
MAC000002,2012-10-12 21:00:00, 0.193 ,8.93
MAC000002,2012-10-12 21:30:00, 0.342 ,8.51
MAC000002,2012-10-12 22:00:00, 0.27 ,8.51
MAC000002,2012-10-12 22:30:00, 0.325 ,8.97
MAC000002,2012-10-12 23:00:00, 0.269 ,8.97
MAC000002,2012-10-12 23:30:00, 0.29 ,8.78
MAC000002,2012-10-13 00:00:00, 0.263 ,8.78
MAC000002,2012-10-13 00:30:00, 0.269 ,8.27
MAC000002,2012-10-13 01:00:00, 0.275 ,8.27
MAC000002,2012-10-13 01:30:00, 0.256 ,7.87
MAC000002,2012-10-13 02:00:00, 0.211 ,7.87
MAC000002,2012-10-13 02:30:00, 0.136 ,7.89
MAC000002,2012-10-13 03:00:00, 0.161 ,7.89
MAC000002,2012-10-13 03:30:00, 0.119 ,7.74
MAC000002,2012-10-13 04:00:00, 0.167 ,7.74
MAC000002,2012-10-13 04:30:00, 0.109 ,7.33
MAC000002,2012-10-13 05:00:00, 0.168 ,7.33
MAC000002,2012-10-13 05:30:00, 0.107 ,6.5
MAC000002,2012-10-13 06:00:00, 0.166 ,6.5
MAC000002,2012-10-13 06:30:00, 0.117 ,6.47
MAC000002,2012-10-13 07:00:00, 0.157 ,6.47
MAC000002,2012-10-13 07:30:00, 0.126 ,7.84
MAC000002,2012-10-13 08:00:00, 0.146 ,7.84
MAC000002,2012-10-13 08:30:00, 0.106 ,9.12
MAC000002,2012-10-13 09:00:00, 0.135 ,9.12
MAC000002,2012-10-13 09:30:00, 0.191 ,10.66
MAC000002,2012-10-13 10:00:00, 0.915 ,10.66
MAC000002,2012-10-13 10:30:00, 0.933 ,10.58
MAC000002,2012-10-13 11:00:00, 0.122 ,10.58
MAC000002,2012-10-13 11:30:00, 0.138 ,11.43
MAC000002,2012-10-13 12:00:00, 0.076 ,11.43
MAC000002,2012-10-13 12:30:00, 0.133 ,11.38
MAC000002,2012-10-13 13:00:00, 0.076 ,11.38
MAC000002,2012-10-13 13:30:00, 0.133 ,11.53
MAC000002,2012-10-13 14:00:00, 0.085 ,11.53
MAC000002,2012-10-13 14:30:00, 0.263 ,10.11
MAC000002,2012-10-13 15:00:00, 0.134 ,10.11
MAC000002,2012-10-13 15:30:00, 0.235 ,10.27
MAC000002,2012-10-13 16:00:00, 0.124 ,10.27
MAC000002,2012-10-13 16:30:00, 0.184 ,9.91
MAC000002,2012-10-13 17:00:00, 0.23 ,9.91
MAC000002,2012-10-13 17:30:00, 0.176 ,9.01
MAC000002,2012-10-13 18:00:00, 0.388 ,9.01
MAC000002,2012-10-13 18:30:00, 0.26 ,7.63
MAC000002,2012-10-13 19:00:00, 0.918 ,7.63
MAC000002,2012-10-13 19:30:00, 0.278 ,7.01
MAC000002,2012-10-13 20:00:00, 0.267 ,7.01
MAC000002,2012-10-13 20:30:00, 0.239 ,6.53
MAC000002,2012-10-13 21:00:00, 0.23 ,6.53
MAC000002,2012-10-13 21:30:00, 0.233 ,6.41
MAC000002,2012-10-13 22:00:00, 0.235 ,6.41
MAC000002,2012-10-13 22:30:00, 0.188 ,5.92
MAC000002,2012-10-13 23:00:00, 0.259 ,5.92
MAC000002,2012-10-13 23:30:00, 0.25 ,5.69
MAC000002,2012-10-14 00:00:00, 0.262 ,5.69
MAC000002,2012-10-14 00:30:00, 0.166 ,5.17
MAC000002,2012-10-14 01:00:00, 0.226 ,5.17
MAC000002,2012-10-14 01:30:00, 0.088 ,4.67
MAC000002,2012-10-14 02:00:00, 0.126 ,4.67
MAC000002,2012-10-14 02:30:00, 0.082 ,4.11
MAC000002,2012-10-14 03:00:00, 0.123 ,4.11
MAC000002,2012-10-14 03:30:00, 0.083 ,3.62
MAC000002,2012-10-14 04:00:00, 0.12 ,3.62
MAC000002,2012-10-14 04:30:00, 0.079 ,3.43
MAC000002,2012-10-14 05:00:00, 0.121 ,3.43
MAC000002,2012-10-14 05:30:00, 0.075 ,2.94
MAC000002,2012-10-14 06:00:00, 0.124 ,2.94
MAC000002,2012-10-14 06:30:00, 0.073 ,2.81
MAC000002,2012-10-14 07:00:00, 0.125 ,2.81
MAC000002,2012-10-14 07:30:00, 0.07 ,4.42
MAC000002,2012-10-14 08:00:00, 0.13 ,4.42
MAC000002,2012-10-14 08:30:00, 0.108 ,6.68
MAC000002,2012-10-14 09:00:00, 0.196 ,6.68
MAC000002,2012-10-14 09:30:00, 0.346 ,9.44
MAC000002,2012-10-14 10:00:00, 0.524 ,9.44
MAC000002,2012-10-14 10:30:00, 0.076 ,11.07
MAC000002,2012-10-14 11:00:00, 0.129 ,11.07
MAC000002,2012-10-14 11:30:00, 0.667 ,11.78
MAC000002,2012-10-14 12:00:00, 0.23 ,11.78
MAC000002,2012-10-14 12:30:00, 0.22 ,11.88
MAC000002,2012-10-14 13:00:00, 0.163 ,11.88
MAC000002,2012-10-14 13:30:00, 0.091 ,12.32
MAC000002,2012-10-14 14:00:00, 0.17 ,12.32
MAC000002,2012-10-14 14:30:00, 0.11 ,11.98
MAC000002,2012-10-14 15:00:00, 0.11 ,11.98
MAC000002,2012-10-14 15:30:00, 0.121 ,11.43
MAC000002,2012-10-14 16:00:00, 0.099 ,11.43
MAC000002,2012-10-14 16:30:00, 0.157 ,10.72
MAC000002,2012-10-14 17:00:00, 0.093 ,10.72
MAC000002,2012-10-14 17:30:00, 0.371 ,9.65
MAC000002,2012-10-14 18:00:00, 0.386 ,9.65
MAC000002,2012-10-14 18:30:00, 1.085 ,9.06
MAC000002,2012-10-14 19:00:00, 1.075 ,9.06
MAC000002,2012-10-14 19:30:00, 0.956 ,8.9
MAC000002,2012-10-14 20:00:00, 0.821 ,8.9
MAC000002,2012-10-14 20:30:00, 0.745 ,8.99
MAC000002,2012-10-14 21:00:00, 0.712 ,8.99
MAC000002,2012-10-14 21:30:00, 0.511 ,8.15
MAC000002,2012-10-14 22:00:00, 0.231 ,8.15
MAC000002,2012-10-14 22:30:00, 0.21 ,6.76
MAC000002,2012-10-14 23:00:00, 0.278 ,6.76
MAC000002,2012-10-14 23:30:00, 0.159 ,5.78
MAC000002,2012-10-15 00:00:00, 0.192 ,5.78
MAC000002,2012-10-15 00:30:00, 0.097 ,4.78
MAC000002,2012-10-15 01:00:00, 0.141 ,4.78
MAC000002,2012-10-15 01:30:00, 0.083 ,4.29
MAC000002,2012-10-15 02:00:00, 0.132 ,4.29
MAC000002,2012-10-15 02:30:00, 0.07 ,4.09
MAC000002,2012-10-15 03:00:00, 0.13 ,4.09
MAC000002,2012-10-15 03:30:00, 0.074 ,4.16
MAC000002,2012-10-15 04:00:00, 0.124 ,4.16
MAC000002,2012-10-15 04:30:00, 0.078 ,4.73
MAC000002,2012-10-15 05:00:00, 0.118 ,4.73
MAC000002,2012-10-15 05:30:00, 0.082 ,5.31
MAC000002,2012-10-15 06:00:00, 0.112 ,5.31
MAC000002,2012-10-15 06:30:00, 0.087 ,5.24
MAC000002,2012-10-15 07:00:00, 0.106 ,5.24
MAC000002,2012-10-15 07:30:00, 0.14 ,7.15
MAC000002,2012-10-15 08:00:00, 0.12 ,7.15
MAC000002,2012-10-15 08:30:00, 1.075 ,9.21
MAC000002,2012-10-15 09:00:00, 0.146 ,9.21
MAC000002,2012-10-15 09:30:00, 0.123 ,10.47
MAC000002,2012-10-15 10:00:00, 0.082 ,10.47
MAC000002,2012-10-15 10:30:00, 0.127 ,11.67
MAC000002,2012-10-15 11:00:00, 0.077 ,11.67
MAC000002,2012-10-15 11:30:00, 0.551 ,12.27
MAC000002,2012-10-15 12:00:00, 0.149 ,12.27
MAC000002,2012-10-15 12:30:00, 0.129 ,12.66
MAC000002,2012-10-15 13:00:00, 0.075 ,12.66
